DateID,ProductID,StoreID,CustomerID,QuantityOrdered,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,239,1,46,14,195,24.528380153080914,21.382472286897237,149.08914756002184
20240728,767,1,830,20,583,73.17216921506736,62.85971677955418,446.9681140053785
20240728,164,1,724,6,658,71.17360396846735,67.55243960642593,519.2739564251067
20240728,566,1,783,5,614,47.345469854831464,60.18612228311652,506.468407862052
20240728,572,1,267,1,781,18.50383664517665,68.40360291189452,694.0925604429289
20240728,421,1,513,13,762,59.626289096846214,102.21268920928708,600.1610216938667
20240728,586,1,959,11,398,51.46256855935645,41.88254137963699,304.65489006100654
20240728,654,1,894,18,821,54.56806967993088,119.4666749679701,646.965255352099
20240728,993,1,548,13,111,8.617780288863788,11.564278070190186,90.81794164094603
20240728,470,1,22,5,107,3.842936353370165,10.765987100401812,92.39107654622802
20240728,584,1,444,18,661,91.41817719778086,76.06619204953763,493.5156307526815
20240728,884,1,49,3,405,28.93943959147214,48.71277416736892,327.34778624115893
20240728,427,1,415,12,474,45.292149580975355,44.63814398089491,384.06970643812974
20240728,447,1,765,13,352,38.01801146759331,33.40043828178745,280.5815502506192
20240728,212,1,65,2,484,33.28513414111668,53.550239316602294,397.16462654228104
20240728,491,1,777,10,943,123.55079766808177,140.40139821019497,679.0478041217233
20240728,482,1,312,12,558,24.840390515221003,30.99038313397701,502.169226350802
20240728,597,1,29,5,642,37.978984604853586,91.08860776495243,512.932407630194
20240728,366,1,74,19,498,72.18934705202753,73.7447259347834,352.0659270131891
20240728,467,1,754,14,287,40.139149083047144,18.17071752039856,228.6901333965543
20240728,233,1,694,7,283,7.575652694067794,24.080677215849555,251.34367009008264
20240728,497,1,252,8,383,45.28852582266649,54.33196237326143,283.3795118040721
20240728,160,1,774,16,247,32.134956831699455,15.866102851399626,198.99894031690093
20240728,933,1,46,3,403,33.79482925305582,56.00453083303637,313.2006399139078
20240728,441,1,481,10,380,23.700947821637627,42.62184476784162,313.67720741052074
20240728,901,1,945,7,864,29.756034866441034,61.22582970790512,773.0181354256538
20240728,161,1,711,11,845,125.49471239342203,67.6603035754484,651.8449840311296
20240728,186,1,285,3,140,11.143777227991617,20.436625399837013,108.41959737217137
20240728,637,1,472,15,315,33.100651626881934,26.000869867038475,255.89847850607958
20240728,516,1,152,6,553,32.12728297855862,52.4316334948143,468.4410835266271
20240728,341,1,496,7,165,14.780449320828813,9.343356717728577,140.8761939614426
20240728,651,1,33,16,730,67.41239500533736,64.87585582095372,597.711749173709
20240728,315,1,272,1,565,27.830416341534416,44.30408421260306,492.8654994458625
20240728,249,1,758,1,878,114.04811975366556,93.76454320214687,670.1873370441876
20240728,426,1,236,16,971,63.32626844094173,75.95046864163325,831.723262917425
20240728,614,1,6,2,459,24.72997795415342,41.094349260696525,393.17567278515
20240728,447,1,74,18,329,33.168337382168204,32.62590127696296,263.20576134086883
20240728,794,1,910,20,406,58.60698457694439,37.60920073573237,309.78381468732323
20240728,348,1,668,12,308,18.38514929679728,25.921071420776563,263.69377928242614
20240728,997,1,966,7,795,16.060019717400323,82.74886781497784,696.1911124676218
20240728,778,1,595,1,461,16.70837657749423,25.766079522104835,418.5255439004009
20240728,914,1,616,13,335,7.83558408391939,33.70338793477666,293.46102798130397
20240728,656,1,311,3,793,93.92060935033074,109.58420804439265,589.4951826052766
20240728,738,1,412,9,312,9.762687165553055,40.86218708698941,261.37512574745756
20240728,238,1,728,8,277,20.46433983980332,41.434169275314034,215.10149088488265
20240728,298,1,599,18,930,96.29662413750926,111.59484149478403,722.1085343677067
20240728,26,1,254,13,321,33.7553062459971,37.21651420853439,250.0281795454685
20240728,671,1,454,15,541,63.88449531575332,34.99059224432059,442.1249124399261
20240728,610,1,596,20,321,30.39665925982802,47.98029408424412,242.62304665592785
20240728,383,1,455,19,345,46.41030148277023,26.269133482734343,272.3205650344954
20240728,268,1,317,9,910,67.22980339316554,126.263222877222,716.5069737296125
20240728,83,1,327,4,703,79.36632833046559,84.27531739674777,539.3583542727866
20240728,864,1,230,7,867,35.11707796086406,63.085267553984174,768.7976544851517
20240728,79,1,549,11,830,97.35167269113904,96.99108559055337,635.6572417183077
20240728,164,1,769,2,625,57.54573030796176,57.26288756706779,510.19138212497046
20240728,999,1,806,20,899,108.38000676647529,79.8439526804224,710.7760405531023
20240728,807,1,586,14,748,47.339447093762146,42.978399337744094,657.6821535684937
20240728,383,1,728,5,802,45.58391797070411,57.21712777450765,699.1989542547883
20240728,325,1,472,5,863,35.94478191507647,68.41202055348967,758.6431975314339
20240728,836,1,600,12,238,16.818736504330875,28.640812603386017,192.5404508922831
20240728,951,1,711,14,170,6.556041950165752,14.704678023095441,148.7392800267388
20240728,575,1,441,10,819,94.90941389591957,90.33826066767061,633.7523254364098
20240728,734,1,415,1,107,13.862213365847186,15.51076642592635,77.62702020822647
20240728,242,1,780,7,217,27.005655069562582,16.899997746024198,173.0943471844132
20240728,39,1,100,14,458,68.69241562216276,58.29890279961107,331.0086815782262
20240728,760,1,830,8,934,93.12795770811,72.6761505582619,768.1958917336281
20240728,148,1,692,18,342,15.007415931891652,28.58282285569998,298.4097612124084
20240728,799,1,859,13,283,26.0240290952183,27.78120527824146,229.19476562654023
20240728,876,1,43,18,768,73.15279450433664,77.70507325999519,617.1421322356682
20240728,310,1,29,3,946,99.34551570910449,49.05928675510759,797.595197535788
20240728,836,1,360,12,797,21.32058417753404,92.00271161530608,683.6767042071599
20240728,132,1,807,20,932,96.92698871005844,60.790222567476526,774.282788722465
20240728,55,1,705,7,487,21.888022182161265,58.34551340509994,406.7664644127388
20240728,953,1,964,5,229,21.829658548040225,13.877639545343204,193.29270190661657
20240728,962,1,133,19,526,38.03217029379114,61.787041194840434,426.1807885113684
20240728,776,1,403,8,129,3.437471340569447,9.189931164139066,116.37259749529149
20240728,55,1,277,1,622,36.17637498358962,85.86821074531557,499.9554142710948
20240728,978,1,192,13,194,28.907813194731894,23.41811623079905,141.67407057446906
20240728,291,1,954,10,827,22.88380670776132,65.2504183391473,738.8657749530914
20240728,121,1,43,4,404,45.25102561968684,36.22240674677138,322.5265676335418
20240728,270,1,446,17,283,35.62670522683114,20.676010811197425,226.69728396197144
20240728,649,1,471,6,701,102.38915077314854,102.21414046932294,496.39670875752853
20240728,895,1,662,11,741,48.27191483967821,70.78508886278875,621.942996297533
20240728,207,1,703,16,862,112.18038445900831,70.49681759814398,679.3227979428477
20240728,113,1,938,12,953,98.46551269043077,110.08895054374139,744.4455367658279
20240728,902,1,457,11,987,56.3840452377234,76.99279674260632,853.6231580196703
20240728,396,1,222,13,222,18.775978968330293,25.47972121747481,177.7442998141949
20240728,526,1,50,16,698,93.08099382883987,40.57953922552045,564.3394669456397
